,census_tract,cluster_label
339,04013109200,mild
340,04013109300,mild
341,04013109401,mild
342,04013109402,mild
343,04013109500,mild
344,04013109601,mild
345,04013109602,mild
346,04013109603,mild
347,04013109604,mild
348,04013109702,mild
349,04013109703,most
350,04013109704,mild
351,04013109705,mild
352,04013109706,mild
353,04013109707,mild
354,04013109801,mild
355,04013109802,mild
356,04013109900,mild
357,04013110001,mild
358,04013110002,most
359,04013110100,mild
360,04013110400,mild
361,04013110501,less
362,04013110502,less
363,04013110600,mild
364,04013110701,most
365,04013110702,mild
366,04013110801,mild
367,04013110802,most
368,04013110901,less
369,04013110902,mild
370,04013111000,less
371,04013111100,less
372,04013111201,less
373,04013111202,less
374,04013111203,less
375,04013111204,less
376,04013111300,most
377,04013111401,most
378,04013111402,mild
379,04013111501,most
380,04013111502,mild
381,04013111601,mild
382,04013111602,most
383,04013111700,less
384,04013111800,mild
385,04013111900,less
386,04013112100,mild
387,04013112201,mild
388,04013112202,mild
389,04013112301,mild
390,04013112302,mild
391,04013112401,mild
392,04013112402,mild
393,04013112502,mild
394,04013112504,mild
395,04013112507,mild
396,04013112508,mild
397,04013112510,mild
398,04013112512,most
399,04013112514,mild
400,04013112515,mild
401,04013112516,mild
402,04013112517,less
403,04013112518,mild
404,04013112519,mild
405,04013112520,mild
406,04013112521,most
407,04013112522,mild
408,04013112523,mild
409,04013112524,mild
410,04013112601,mild
411,04013112602,mild
412,04013112700,mild
413,04013112900,mild
414,04013113000,mild
415,04013113100,mild
416,04013113201,mild
417,04013113202,mild
418,04013113204,less
419,04013113301,most
420,04013113502,mild
421,04013113503,mild
422,04013113601,mild
423,04013113602,mild
424,04013113701,mild
425,04013113702,mild
426,04013113800,most
427,04013113900,most
428,04013114000,less
429,04013114100,mild
430,04013114200,mild
431,04013114301,most
432,04013114302,mild
433,04013114401,mild
434,04013114402,most
435,04013114500,mild
436,04013114600,most
437,04013114704,mild
438,04013114800,mild
439,04013114900,most
440,04013115200,most
441,04013115300,most
442,04013115400,most
443,04013115500,mild
444,04013115600,mild
445,04013115700,mild
446,04013115801,most
447,04013115802,most
448,04013115900,mild
449,04013116000,most
450,04013116100,mild
451,04013116202,mild
452,04013116203,mild
453,04013116204,less
454,04013116205,less
455,04013116300,less
456,04013116400,mild
457,04013116500,mild
458,04013116605,mild
459,04013116606,mild
460,04013116607,mild
461,04013116610,mild
462,04013116611,less
463,04013116612,mild
464,04013116614,mild
465,04013116615,most
466,04013116616,less
467,04013116617,mild
468,04013116618,mild
469,04013116619,mild
470,04013116620,less
